claim_id,claim,primary_indicator_id,expected_output,evidence_strength,caveat
C001,Britain's output per person has changed materially since 2007,gdp_per_head,2007 vs latest comparison,Strong,"GDP per head rose 7.7% from £37,625 (2007) to £40,537 (2025). Growth averaged ~0.4% per year."
C002,National income per head has changed materially since 2007,real_ndp_per_head,2007 vs latest comparison,Strong,"NDP per head rose 3.7%, less than half the rate of GDP per head. Suggests capital consumption absorbed a growing share of output."
C003,Productivity growth has been weak since 2007,labour_productivity_output_per_hour,2007 vs latest comparison,Strong,"Output per hour rose 6.9% over 18 years (~0.4% pa), compared with ~2% pa pre-2007. Clear evidence of productivity stagnation."
C004,Regional productivity inequality persists,regional_productivity_output_per_hour,Regional comparison table,Partial,"Mixed picture: 7 regions gained relative to UK average, 5 declined. Scotland (+7.3%) and NI (+8.1%) converged; London (−7.3%) and East of England (−2.8%) saw the largest relative falls."
C005,London remains a productivity outlier,regional_productivity_output_per_hour,London vs UK average and regions,Strong,London output per hour: 129 (UK=100) vs 139 in 2007. Remains the clear outlier but the gap has narrowed.
C006,Living standards changed differently from GDP per head,real_earnings,Comparison with earnings or income measure,Strong,"Real earnings (CPI-deflated AWE) rose only 2.3% since 2007, compared with GDP per head growth of 7.7%. Living standards, as measured by real pay, have barely improved."
C007,Housing pressure has worsened since 2007,housing_affordability,Affordability or supply comparison,Partial,"Median house price to earnings ratio rose from 7.2 (2007) to 7.5 (2025), but peaked at 8.95 in 2021 before declining. The 5-year average of 8.19 confirms sustained pressure above 2007 levels, though the endpoint comparison alone understates the deterioration experienced during 2015–2023."
C008,Public service pressure (NHS waiting list) has increased substantially since 2007,nhs_waiting_list,2007 vs latest comparison,Strong,"NHS England waiting list rose from 4.19M (Aug 2007) to 7.01M (Mar 2026), an increase of 68%. The post-2020 COVID backlog accounts for much of the increase, but the pre-COVID trend was already upward (2.4M in 2010 to 4.2M in 2020)."
C009,A&E performance has worsened since the early 2010s,ae_four_hour_performance,2011 vs latest annual comparison,Partial,"A&E attendances completed within 4 hours fell from an annual average of 96.8% in 2011 to 74.7% in 2025, a fall of 22.1 percentage points. Evidence is partial because there is no 2007 baseline and comparability caveats apply before June 2015 and during the 2019 to 2023 clinical standards field test."
C010,Public sector employment has grown since 2007,public_sector_employment,2007 vs latest comparison,Partial,"Public sector employment rose from 6.03M in 2007 to 6.18M in 2025, an increase of 149 thousand (2.5%). The public sector share of total employment fell from 20.5% to 18.0%, so headcount grew but the sector shrank as a share of employment."
